NA_index,cl_rm_i,cl_feit_M,cl_vloe_M,cl_rele_M,cl_spre_M,cl_eval_M,cl_ranking
0,cl_rm_1,94.0,83.0,84.0,85.0,86.5,8.0
0,cl_rm_7,95.0,65.8,87.0,79.0,81.7,4.0
0,cl_rm_6,93.0,64.6,77.0,80.0,78.65,2.0
0,cl_rm_5,92.0,70.4,76.0,80.0,79.6,3.0
0,cl_rm_g,74.0,49.0,70.0,82.0,68.75,1.0
0,cl_rm_4,94.0,72.6,87.0,80.0,83.4,5.0
0,cl_rm_2,94.0,77.8,83.0,81.0,83.95,6.0
0,cl_rm_3,94.0,79.0,82.0,83.0,84.5,7.0
1,cl_rm_7,97.0,87.0,89.0,78.4,87.85,7.0
1,cl_rm_6,94.0,84.0,70.0,90.0,84.5,5.0
1,cl_rm_5,99.0,80.0,87.0,75.4,85.35,6.0
1,cl_rm_4,95.0,76.4,70.0,76.0,79.35,2.0
1,cl_rm_3,97.0,83.6,75.0,73.0,82.15,3.0
1,cl_rm_g,98.0,71.0,59.0,71.0,74.75,1.0
1,cl_rm_1,95.0,71.4,80.0,85.0,82.85,4.0
1,cl_rm_2,98.0,78.4,88.0,87.6,88.0,8.0
2,cl_rm_5,85.0,78.4,71.0,78.0,78.1,3.0
2,cl_rm_g,93.0,75.6,73.0,78.0,79.9,5.0
2,cl_rm_4,96.6,90.6,41.0,62.0,72.55,1.0
2,cl_rm_7,95.0,90.2,74.0,61.0,80.05,6.0
2,cl_rm_2,94.0,85.0,76.0,67.0,80.5,7.0
2,cl_rm_3,93.0,88.0,70.0,72.0,80.75,8.0
2,cl_rm_1,90.0,81.4,70.0,65.0,76.6,2.0
2,cl_rm_6,88.0,77.8,74.0,76.0,78.95,4.0
3,cl_rm_4,93.0,78.0,67.0,71.0,77.25,3.0
3,cl_rm_1,86.0,86.0,58.0,80.0,77.5,4.0
3,cl_rm_6,93.0,86.0,77.0,80.0,84.0,5.0
3,cl_rm_g,0.0,29.0,20.0,23.0,18.0,1.0
3,cl_rm_5,93.0,89.0,82.0,84.0,87.0,6.0
3,cl_rm_3,77.0,60.0,52.0,61.0,62.5,2.0
3,cl_rm_7,93.0,85.0,90.0,90.4,89.6,7.0
3,cl_rm_2,93.0,82.0,81.0,80.0,84.0,5.0
4,cl_rm_1,89.4,78.0,85.0,71.2,80.9,4.0
4,cl_rm_g,92.6,88.0,92.0,87.6,90.05000000000001,8.0
4,cl_rm_7,85.0,57.0,71.0,66.0,69.75,3.0
4,cl_rm_5,67.0,31.0,51.0,40.0,47.25,1.0
4,cl_rm_6,76.0,42.0,78.0,54.0,62.5,2.0
4,cl_rm_2,93.2,79.0,82.0,71.0,81.3,5.0
4,cl_rm_4,84.0,87.4,81.0,79.6,83.0,6.0
4,cl_rm_3,91.4,78.6,88.0,75.4,83.35,7.0
5,cl_rm_4,93.4,86.0,74.0,59.0,78.1,5.0
5,cl_rm_2,93.6,83.4,79.0,77.0,83.25,8.0
5,cl_rm_1,93.2,84.0,80.0,72.6,82.44999999999999,7.0
5,cl_rm_7,97.4,93.4,80.0,58.0,82.2,6.0
5,cl_rm_5,91.0,86.0,58.0,68.4,75.85,2.0
5,cl_rm_3,90.4,76.0,71.0,72.0,77.35,4.0
5,cl_rm_6,88.0,72.0,61.0,67.0,72.0,1.0
5,cl_rm_g,88.6,79.8,67.0,70.0,76.35,3.0
6,cl_rm_7,92.0,76.8,68.0,84.0,80.2,4.0
6,cl_rm_2,91.0,75.6,71.0,84.0,80.4,5.0
6,cl_rm_g,84.0,70.2,52.0,84.0,72.55,1.0
6,cl_rm_6,91.0,80.0,60.0,87.0,79.5,2.0
6,cl_rm_3,93.0,83.0,90.0,81.0,86.75,8.0
6,cl_rm_5,94.0,83.4,72.0,85.0,83.6,6.0
6,cl_rm_1,94.0,81.0,82.0,84.0,85.25,7.0
6,cl_rm_4,89.0,69.4,80.0,81.0,79.85,3.0
7,cl_rm_3,93.6,81.0,76.0,74.0,81.15,4.0
7,cl_rm_4,95.0,84.0,82.0,82.0,85.75,8.0
7,cl_rm_g,84.0,73.0,58.0,94.0,77.25,3.0
7,cl_rm_6,84.0,67.0,66.0,84.0,75.25,1.0
7,cl_rm_7,91.0,79.4,84.0,79.0,83.35,5.0
7,cl_rm_5,87.0,71.0,66.0,81.0,76.25,2.0
7,cl_rm_2,93.0,85.0,84.0,78.0,85.0,7.0
7,cl_rm_1,90.0,88.0,85.0,75.0,84.5,6.0
8,cl_rm_g,95.0,85.4,64.0,74.0,79.6,3.0
8,cl_rm_7,94.0,85.4,85.0,72.8,84.3,8.0
8,cl_rm_2,86.0,69.0,81.0,70.8,76.7,1.0
8,cl_rm_5,90.0,87.0,82.0,74.6,83.4,6.0
8,cl_rm_6,93.0,80.4,86.0,75.2,83.64999999999999,7.0
8,cl_rm_1,90.0,75.0,88.0,69.4,80.6,4.0
8,cl_rm_3,86.0,74.0,81.0,69.4,77.6,2.0
8,cl_rm_4,93.0,81.4,87.0,65.4,81.69999999999999,5.0
9,cl_rm_4,89.0,68.2,74.8,73.6,76.4,5.0
9,cl_rm_6,90.0,73.4,72.0,71.4,76.7,6.0
9,cl_rm_5,93.0,81.0,67.0,60.0,75.25,2.0
9,cl_rm_3,87.0,62.0,77.4,70.0,74.1,1.0
9,cl_rm_2,92.0,72.6,84.0,74.0,80.65,8.0
9,cl_rm_1,90.0,66.0,74.4,71.0,75.35,3.0
9,cl_rm_7,91.0,78.4,74.0,79.0,80.6,7.0
9,cl_rm_g,84.0,68.0,62.0,90.0,76.0,4.0
