NA_index,news_articles,gpt4_rm_i,gpt4_rm_str,gpt4_feit_ls,gpt4_vloe_ls,gpt4_rele_ls,gpt4_spre_ls
0,"De Amerikaanse media waren na de teleurstellende uitschakeling van het nationale voetbalteam door Nederland (1-3) redelijk eensluidend in hun commentaar: Oranje was dominant, Denzel Dumfries blonk uit. Die vaststelling maakte het logisch dat voor Team USA de achtste finale het eindstation was van het mondiale titeltoernooi. Als belangrijkste lichtpunt werd de jeugdigheid van de selectie gezien, een belofte voor het volgende WK in 2026, dat plaatsvindt in eigen land, Canada en Mexico.  De verslaggever van de Washington Post schreef dat de Amerikaanse defensie zich na de aftrap met name concentreerde op de aanvallende boegbeelden Memphis Depay en Cody Gakpo, maar dat de hoofdrol bij Oranje werd gespeeld door Dumfries: tweemaal aangever, één keer afmaker.  Volgens de New York Times was het doelpunt van Dumfries de nekslag voor de jonge, onervaren Amerikanen. Vooral omdat die goal zo snel na de hoopgevende 1-2 van Haji Wright kwam. De daarmee uitgegooide ""reddingslijn"" werd al na luttele minuten doorgesneden.  USA Today oordeelde dat er op de Nederlandse zege weinig viel af te dingen. De ploeg van bondscoach Louis van Gaal domineerde en overklaste de jongens van Gregg Berhalter. Volgens de krant mag het duidelijk zijn dat Amerikanen nog een lange weg te gaan hebben voordat ze zich tot de absolute wereldtop kunnen rekenen en met recht aan een wereldtitel mogen denken. ",gpt4_rm_1,Het Amerikaanse voetbalteam is uitgeschakeld in de achtste finale van het WK door Nederland met 3-1. De Amerikaanse media waren het erover eens dat Oranje dominant was en dat Denzel Dumfries uitblonk. Dumfries speelde een belangrijke rol bij de doelpunten van Oranje. De jeugdigheid van de Amerikaanse selectie werd gezien als een belofte voor het volgende WK in 2026. Volgens de New York Times was het doelpunt van Dumfries de nekslag voor de Amerikanen en had de ploeg van bondscoach Louis van Gaal de jongens van Gregg Berhalter overklast.,"[90, 90, 90, 90, 90]",,,
1,"De 10-jarige Hebe en haar begeleidster Sanne zijn omgekomen door een verkeersongeval. Dat concludeert het Openbaar Ministerie op basis van het onderzoek naar de toedracht van de dood van de twee. De 26-jarige Sanne was eerder in het onderzoek als verdachte aangemerkt. ""Daarvan is geen enkele sprake meer"", aldus het OM. Het gaat volgens het OM om een ""noodlottig ongeval"". Het onderzoek naar de dood van het tweetal is daarmee afgesloten.  De gehandicapte Hebe werd op 17 oktober opgehaald door Sanne vanaf een dagcentrum in Raamsdonksveer. Ze waren onderweg naar Vught, maar kwamen daar nooit aan. Er volgde een dagenlange zoektocht, waarbij onder meer een amber alert werd uitgegeven voor Hebe. Op 19 oktober werden de twee gevonden bij knooppunt Empel bij 's-Hertogenbosch in de Kia Picanto waarin ze reden. Ze waren niet meer in leven.  De ouders van Sanne en Hebe danken iedereen voor alle steun en medeleven die ze hebben gekregen, laten ze weten via organisatie Namens de Familie. ""Buiten zochten onze vrienden, familie, bekenden, maar ook mensen die we niet kenden, met honderden tegelijk in weilanden, duinen en bossen. De politie, brandweer, speciale eenheden, veteranen en alle anderen sliepen nauwelijks en waren vastberaden Hebe en Sanne te vinden. Dat ze dat deden, zo massaal, raakt ons diep. Wat zijn we dankbaar voor de volharding die ze toonden.""  ""Ons verdriet is groot, maar we voelen ons gedragen door onze familie en vrienden, door de mensen in ons dorp, door zoveel mensen in dit land en zelfs daarbuiten"", aldus de ouders. ""Alle energie, tijd, moeite en daadkracht, heeft onze lieve meiden helaas niet kunnen redden."" De families laten verder weten met rust te willen worden gelaten om ""de gebeurtenissen en hun verdriet te verwerken"". ",gpt4_rm_1,In Vught zijn een 10-jarig meisje en haar begeleidster omgekomen bij een verkeersongeval. Het Openbaar Ministerie concludeert dat het om een noodlottig ongeval gaat. Na een dagenlange zoektocht werden ze gevonden in een auto. De ouders van het meisje en haar begeleidster danken iedereen voor de steun en willen nu met rust worden gelaten om hun verdriet te verwerken.,"[100, 100, 100, 100, 100]",,,
2,"De belangrijkste adviseur van de regering vindt dat woonminister Hugo de Jonge moet uitleggen waarom onderscheid tussen verschillende type huurders gerechtvaardigd is in zijn woningwet. Met die wet wil hij een huurverlaging regelen voor mensen met een laag inkomen, die bij een woningcorporatie huren. Maar de Raad van State is kritisch op die wetswijziging, omdat er onderscheid wordt gemaakt tussen huurders bij een corporatie en huurders met een huisbaas.  De Jonge moet volgens de Raad van State een ""objectieve rechtvaardiging"" geven voor het feit dat private huurders geen verlaging krijgen. Als deze rechtvaardiging niet gegeven kan worden, moet het kabinet het voorstel heroverwegen, aldus de Raad. Momenteel is in de wet ""onvoldoende gemotiveerd"" waarom onderscheid gemaakt wordt tussen huurders die bij een woningcorporatie huren. De adviseur benadrukt dat huurders ""zeker in de huidige krappe woningmarkt"" doorgaans niet de luxe hebben om te kiezen of ze huren bij een corporatie of een private verhuurder.  Een woordvoerder van het ministerie van Binnenlandse Zaken zegt dat het eerder aangekondigde wetsvoorstel binnen enkele weken naar de Tweede Kamer gaat. Dan zal De Jonge ook toelichten ""tot welke wijzigingen in het wetsvoorstel het advies van de Raad van State heeft geleid"". Mogelijk past hij zijn voorstel dus nog aan.  Het is de RvS ook niet duidelijk waarom er niet voor is gekozen om de huurtoeslag ""in te zetten"". Het verder verhogen van deze toeslag zou ook huurders met een laag inkomen helpen, en aan die ingreep kleven veel minder nadelen. Zo worden óók mensen die niet bij een woningcorporatie huren met zo'n maatregel geholpen.  In het wetsvoorstel staat niet duidelijk ""of de beoogde doelgroep, huurders met een laag inkomen én een kwetsbare huurquote, ook daadwerkelijk bereikt wordt"", zegt de Raad van State. Ook vraagt de Raad zich af hoe het voorstel zich verhoudt tot de andere maatregelen om kwetsbare huurders financieel een steuntje in de rug te geven. ",gpt4_rm_1,"Woonminister Hugo de Jonge moet uitleggen waarom private huurders geen verlaging krijgen bij zijn wetswijziging om de huur te verlagen voor mensen met een laag inkomen bij een woningcorporatie. De Raad van State is kritisch en wil een ""objectieve rechtvaardiging"". Als de rechtvaardiging niet gegeven kan worden, moet het voorstel heroverwogen worden. De adviseur van de regering benadrukt dat de huurders ""zeker in de huidige krappe woningmarkt"" vaak geen keuze hebben. De RvS vraagt zich af of de beoogde doelgroep bereikt wordt en waarom huurtoeslag niet ingezet wordt.","[90, 90, 90, 90, 90]",,,
3,"Nederland brengt in de series van de 4x400 meter gemengd een sterke estafetteploeg in de baan op het WK atletiek in het Amerikaanse Eugene. Liemarvin Bonevacia, Lieke Klaver, Tony van Diepen en Eveline Saalberg komen vanaf 20.45 uur in actie op Hayward Field.  Bonevacia en Klaver maakten vorige zomer samen met Femke Bol en Ramsey Angela deel uit van het estafetteteam dat op de Olympische Spelen van Tokio als vierde eindigde in de finale van de 4x400 meter gemengd, een betrekkelijk nieuw onderdeel in de atletiek.  Er mag voor de finale één atleet worden gewisseld. Het ligt voor de hand dat Femke Bol dan de plaats inneemt van Saalberg. Bol komt op dit WK individueel uit op de 400 meter horden, maar is ook op de 400 meter veruit de snelste Nederlandse atlete.  Bonevacia is de snelste Nederlander op de 400 meter. Hij werd onlangs in Apeldoorn voor de zesde keer Nederlands kampioen. Van Diepen doet in Eugene mee op de 800 meter. De twee zaten ook in de ploeg van de 4x400 meter mannen die op de Spelen in Tokio stuntte met zilver. ",gpt4_rm_1,"Vanavond is Nederland sterk vertegenwoordigd in de 4x400 meter gemengde estafette op het WK atletiek in Eugene. Liemarvin Bonevacia, Lieke Klaver, Tony van Diepen en Eveline Saalberg komen in actie op Hayward Field. Femke Bol zal waarschijnlijk de plek van Saalberg innemen voor de finale, waarbij één atleet mag worden gewisseld. Bonevacia en Klaver waren vorig jaar deel van het Olympisch team dat als vierde eindigde. Bonevacia is de snelste Nederlander op de 400 meter en Van Diepen doet mee op de 800 meter.","[100, 100, 100, 100, 100]",,,
4,"Vitesse heeft bijna veertig supporters een stadionverbod opgelegd vanwege het afsteken van rookbommen. De thuiswedstrijd zondag tegen sc Heerenveen (1-2) moest na een kwartier tijdelijk worden stilgelegd, omdat achter een van de doelen flinke rookontwikkeling ontstond. Eén rookbom werd zelfs op het veld gegooid.  ""Terwijl de zwart-grijze rook opstijgt op de Zuid-tribune, denkt 99,9 procent van de mensen in Gelredome precies hetzelfde: daar gaan we weer, wat een ellende"", schrijft Vitesse op de website.  Twee toeschouwers werden gearresteerd omdat ze twee stewards hadden mishandeld. ""Het moge duidelijk zijn dat dit volstrekt onacceptabel is en nóóit mag gebeuren"", aldus Vitesse, dat stadionverboden oplegde aan de supporters die (mede) verantwoordelijk waren voor de vuurwerkactie. In totaal heeft de Arnhemse club dit seizoen al ruim honderd fans een stadionverbod gegeven. Vitesse probeert de financiële schade te verhalen op de daders.  ""Het zijn harde maatregelen, waar we absoluut niet trots op zijn, maar die voor de terugkeer naar een veilig en sfeervol stadion wel noodzakelijk zijn. Het moet stoppen dat kleine groepen 'supporters' het verpesten voor de rest"", aldus de nummer 6 van de Eredivisie. ",gpt4_rm_1,Bijna veertig Vitesse-supporters hebben een stadionverbod gekregen na het afsteken van rookbommen en het gooien van een rookbom op het veld tijdens de wedstrijd tegen sc Heerenveen.,"[100, 100, 100, 100, 100]",,,
5,"In Nieuw-Zeeland is dinsdagochtend de noodtoestand afgekondigd vanwege de grootschalige schade die cycloon Gabrielle heeft aangericht op het Noordereiland. De autoriteiten spreken van een ""ongekende"" natuurramp. Slechts twee keer eerder, vanwege de verwoestende aardbevingen in Christchurch en in recentere jaren de Covid-19-pandemie, was de noodtoestand er op nationaal niveau van kracht.  De Nieuw-Zeelandse premier Chris Hipkins zegt dat de cycloon, die in Nieuw-Zeeland al sinds zondag voor extreem weer zorgt, ""grote schade heeft aangericht door het hele land"". Er was gewaarschuwd voor ""een van de zwaarste stormen van de eeuw"". Dinsdagochtend is op tientallen beelden op sociale media te zijn dat huizen zijn overstroomd en wegen zijn weggespoeld. Volledige regio's, zoals de kustprovincie Gisborne, zijn volgens de autoriteiten afgesneden van de buitenwereld.  Het ministerie van Noodsituaties meldt dat het niet met alle lokale brandweerkorpsen contact heeft kunnen leggen vanwege problemen met mobiele netwerken. Reddingsoperaties worden bemoeilijkt doordat helikopters vanwege de harde wind niet overal kunnen vliegen. Het leger wordt op sommige plekken ingezet om te helpen bij verplichte evacuaties en de situatie verandert ""van minuut tot minuut"".  Cycloon Gabrielle veroorzaakte naast metershoge golven en windstoten tot 127 kilometer per uur ook zware regenval. Het weerstation Raparapaririki, in de regio Gisborne, registreerde tussen zondag en dinsdag een recordhoeveelheid van 568 millimeter regen.  Ook Auckland, Nieuw-Zeelands grootste stad die nog herstellende was van de overstromingen ruim twee weken geleden, werd zwaar getroffen door de storm. Ten westen van de stad, in Muriwai, is een lid van de vrijwillige brandweer vermist na een aardverschuiving bij een ondergelopen woning.  Tienduizenden huishoudens verspreid over het Noordereiland zitten zonder stroom en door een ondergelopen onderstation, dat onderdeel is van het hoogspanningsnet, kan het nog ""dagen of weken"" duren voordat delen van het land weer zijn aangesloten op het stroomnet. ",gpt4_rm_1,"In Nieuw-Zeeland is de noodtoestand afgekondigd vanwege de ""ongekende"" natuurramp die cycloon Gabrielle heeft veroorzaakt op het Noordereiland. De cycloon heeft grote schade aangericht en heeft ervoor gezorgd dat volledige regio's, zoals de kustprovincie Gisborne, zijn afgesneden van de buitenwereld. Tienduizenden huishoudens zitten zonder stroom en de situatie verandert ""van minuut tot minuut"". Helikopters kunnen niet overal vliegen vanwege de harde wind en reddingsoperaties worden bemoeilijkt. Een lid van de vrijwillige brandweer is vermist na een aardverschuiving bij een ondergelopen woning. Cycloon Gabrielle heeft ook zware regenval veroorzaakt, waardoor het Noordereiland kampt met overstromingen.","[90, 90, 90, 90, 90]",,,
6,"De onbemande Russische Sojoez-capsule die drie astronauten moet ophalen van het internationale ruimtestation ISS is op zijn bestemming aangekomen. De Russische ruimtevaartorganisatie Roskosmos meldt op Telegram dat de capsule zondagochtend om 03.58 uur Moskouse tijd is afgemeerd bij het ISS. Het ruimtevaartuig was vrijdag gelanceerd.  De Russische kosmonauten Sergej Prokopjev en Dmitri Petelin en de Amerikaanse astronaut Francisco Rubio die momenteel op het ISS verblijven, zouden in maart naar de aarde terugkeren. In december ontstond echter een lek in het Sojoez-ruimteschip waarmee ze zouden reizen, waardoor koelvloeistof wegstroomde. Waarschijnlijk is het lek veroorzaakt door een botsing met een zogeheten micrometeoroïde, een miniem stukje ruimtegruis.  Nu de nieuwe capsule is gearriveerd zal de beschadigde volgende maand onbemand terugkeren. De drie ruimtevaarders moeten nog tot september op het ISS blijven, want Roskosmos heeft hun missie verlengd. Het Sojoez-ruimtevaartuig dat zondag afmeerde bracht daarom ook 429 kilo materiaal en voorraden mee. ",gpt4_rm_1,"De onbemande Russische Sojoez-capsule is succesvol aangekomen bij het internationale ruimtestation ISS om drie astronauten op te halen. Het ruimtevaartuig bracht ook 429 kilogram materiaal en voorraden mee. Het beschadigde Sojoez-ruimtevaartuig zal onbemand terugkeren naar de aarde. De drie ruimtevaarders zullen langer op het ISS blijven, tot september.","[90, 100, 90, 90, 90]",,,
7,"Nederlandse kwekers zullen door de sterk gestegen energieprijzen veel minder sierbloemen en -planten produceren. Dat is de verwachting bij Royal FloraHolland, 's werelds grootste bloemenveiling. Een woordvoerder van de coöperatie, in handen van bloemen- en plantenkwekers, houdt rekening met een terugval van 40 procent.  ""We zien kwekers die vanwege de hoge kosten besluiten hun bedrijf te beëindigen, maar ook faillissementen. Daarnaast zijn er kwekers die voor 2022, dus voor de inval in Oekraïne, een heel goed contract voor energie hadden afgesloten en dat kunnen doorverkopen. Dat levert dan meer op dan zelf bloemen produceren"", vertelt de zegsman.  Hoewel het afhangt van de precieze planten of bloemen die kwekers verkopen, komen veel van hen niet uit de kosten bij de huidige prijzen. Probleem is dat ze prijzen voor gas en elektriciteit niet zomaar kunnen doorberekenen doordat hun waren worden geveild. ""Bij de veilingklok is het een kwestie van vraag en aanbod. Op het moment dat veel kwekers stoppen gaan de prijzen mogelijk weer omhoog door het beperkte aanbod, maar als een kweker nu al forse verliezen draait gaat die niet wachten op betere tijden.""  De bloemensector, goed voor zeker 150.000 banen in Nederland, heeft het door de oorlog in Oekraïne en gestegen gasprijzen al langer zwaar. Op Valentijnsdag, een van de belangrijkste dagen voor de bloemenverkoop in binnen- en buitenland, voerden kwekers al 27 procent minder aan. Royal FloraHolland pleit voor ingrepen van de overheid op de energiemarkt zodat gas en elektriciteit weer enigszins betaalbaar worden. ",gpt4_rm_1,"Nederlandse kwekers van sierbloemen en -planten produceren veel minder vanwege de sterk gestegen energieprijzen. Royal FloraHolland, 's werelds grootste bloemenveiling, verwacht een terugval van 40 procent. De bloemensector, goed voor zeker 150.000 banen in Nederland, lijdt al langer onder de oorlog in Oekraïne en gestegen gasprijzen. Kwekers die al forse verliezen draaien kunnen de prijzen voor gas en elektriciteit niet zomaar doorberekenen doordat hun waren worden geveild. Royal FloraHolland pleit voor ingrepen van de overheid op de energiemarkt.","[90, 90, 90, 90, 95]",,,
8,"De Tweede Kamer heeft zoals verwacht met een brede meerderheid gestemd voor een nieuwe pensioenwet. Op de laatste vergaderdag voor de winterstop stemden de coalitiepartijen voor, PvdA en GroenLinks besloten de wet het ""voordeel van de twijfel"" te geven, en ook SGP en Volt steunden het voorstel.  Daarmee is de wet die het nieuwe pensioenstelsel mogelijk maakt, een stap dichterbij. De wetsbehandeling in aanloop naar de stemming was ongebruikelijk. De Kamer sprak tientallen uren over de technisch zeer ingewikkelde wet. Dinsdag stemde de Kamer in met een aantal belangrijke aanpassingsvoorstellen. Kamerleden stemden donderdag dus hoofdelijk over een vertimmerde wet.  Het voorstel legt de basis voor een van de grootste sociale verbouwingen in de afgelopen tijd. Het pensioenvermogen (tussen de 1400 en 1500 miljard) gaat van een collectieve pot naar grotendeels individuele potjes. De overstap naar deze nieuwe manier van pensioen opbouwen kost mogelijk tientallen miljarden, en hoe het nieuwe stelsel precies uitpakt voor specifieke fondsen is nog niet helemaal duidelijk.  Wel is er overeenstemming dat het oude pensioenstelsel niet meer van deze tijd is. Het nieuwe stelsel is flexibeler en past beter bij de huidige arbeidsmarkt. Hoewel er grotere risico's aan verbonden zitten, leidt het nieuwe stelsel volgens De Nederlandsche Bank in veel scenario's sneller tot een hoger pensioen.  Steun van partijen buiten de coalitie is belangrijk, omdat pensioenminister Carola Schouten de wet nu moet verdedigen in de Eerste Kamer. Daar hebben de coalitiepartijen geen meerderheid. Het kabinet hoopt de wet snel te kunnen behandelen in de senaat, omdat deze na de Eerste Kamerverkiezingen in mei van samenstelling zal veranderen. De vrees is dat de (midden-)partijen die de nieuwe wet steunen, zetels verliezen.  Invoering van de wet is al meerdere keren aangepast, maar is nu voorzien voor 1 juli 2023. Pensioenfondsen hebben dan tot 1 januari 2027 om over te stappen naar het nieuwe stelsel. ",gpt4_rm_1,"De Tweede Kamer heeft met een brede meerderheid gestemd voor een nieuwe pensioenwet. Daarmee is het nieuwe pensioenstelsel dat meer flexibiliteit biedt en beter past bij de huidige arbeidsmarkt, een stap dichterbij. De overstap van het collectieve pot naar individuele potjes kan tientallen miljarden kosten en de gevolgen voor specifieke fondsen zijn nog niet helemaal duidelijk. Steun van partijen buiten de coalitie is belangrijk omdat het kabinet de wet moet verdedigen in de Eerste Kamer. De invoering van de wet is voorzien voor 1 juli 2023.","[95, 80, 90, 90, 90]",,,
9,"De FNV houdt woensdag een landelijke manifestatie op het Jaarbeursplein in Utrecht om zich hard te maken voor een betere cao voor gemeentepersoneel. Het overleg daarover met de Vereniging van Nederlandse Gemeenten (VNG) is stukgelopen. Vanaf 11.00 uur komen de demonstranten bijeen.  Onder anderen reinigingspersoneel en boa’s eisen een loonsverhoging van 12 procent. De vakbond heeft het voorstel van de VNG van 5 procent verhoging in 2023 en 3 procent verhoging in 2024 afgewezen.  Naast de manifestatie wordt in verschillende plaatsen gestaakt. Op maandag hield de FNV een manifestatie op de Koekamp in Den Haag, gevolgd door een driedaagse staking van reinigingspersoneel tot en met woensdag. Vanaf woensdag leggen hun Rotterdamse collega’s het werk neer tijdens een zesdaagse staking.  Eerder staakte de reinigingsdienst van Utrecht. Dat leidde tot bergen vuil in de stad, die de stakers na afloop zelf opruimden. In Emmen werd afgelopen donderdag geen vuilnis opgehaald, in de Betuwe bleven de vuilniswagens vorige week binnen en waren de milieustraten dicht en ook in Groningen staakten de medewerkers van Stadsbeheer. ",gpt4_rm_1,"Woensdag vindt er een landelijke manifestatie plaats op het Jaarbeursplein in Utrecht. De FNV organiseert deze manifestatie voor een betere cao voor gemeentepersoneel, nadat het overleg met de VNG hierover is stukgelopen. Reinigingspersoneel en boa's eisen een loonsverhoging van 12 procent, terwijl de VNG 5 procent in 2023 en 3 procent in 2024 heeft voorgesteld, wat de vakbond heeft afgewezen. De manifestatie wordt ondersteund door stakingen in verschillende plaatsen, waaronder een zesdaagse staking in Rotterdam.","[100, 90, 90, 90, 90]",,,
