NA_index,gpt4_rm_i,gpt4_feit_M,gpt4_vloe_M,gpt4_rele_M,gpt4_spre_M,gpt4_eval_M,gpt4_ranking
0,gpt4_rm_1,90.0,82.0,85.0,85.0,85.5,5.0
0,gpt4_rm_7,90.0,79.0,85.0,79.0,83.25,4.0
0,gpt4_rm_6,94.0,90.0,89.0,84.0,89.25,8.0
0,gpt4_rm_5,86.0,77.0,84.0,78.0,81.25,3.0
0,gpt4_rm_g,74.0,64.0,66.0,70.0,68.5,1.0
0,gpt4_rm_4,90.0,82.0,94.0,84.0,87.5,7.0
0,gpt4_rm_2,85.0,73.0,77.0,77.0,78.0,2.0
0,gpt4_rm_3,93.0,83.0,89.0,82.0,86.75,6.0
1,gpt4_rm_7,97.0,80.0,86.0,72.0,83.75,5.0
1,gpt4_rm_6,94.0,71.0,82.0,68.0,78.75,3.0
1,gpt4_rm_5,97.0,82.0,90.0,70.0,84.75,6.0
1,gpt4_rm_4,94.0,67.0,80.0,60.0,75.25,2.0
1,gpt4_rm_3,98.0,76.0,88.0,67.0,82.25,4.0
1,gpt4_rm_g,89.0,57.0,76.0,52.0,68.5,1.0
1,gpt4_rm_1,100.0,78.0,89.0,75.0,85.5,7.0
1,gpt4_rm_2,100.0,84.0,94.0,83.0,90.25,8.0
2,gpt4_rm_5,70.0,64.0,64.0,63.0,65.25,1.0
2,gpt4_rm_g,71.0,61.0,68.0,69.0,67.25,3.0
2,gpt4_rm_4,73.0,58.0,76.0,61.0,67.0,2.0
2,gpt4_rm_7,88.0,74.0,77.0,67.0,76.5,6.0
2,gpt4_rm_2,87.0,77.0,86.0,82.0,83.0,8.0
2,gpt4_rm_3,79.0,67.0,81.0,67.0,73.5,4.0
2,gpt4_rm_1,90.0,75.0,89.0,76.0,82.5,7.0
2,gpt4_rm_6,81.0,72.0,75.0,69.0,74.25,5.0
3,gpt4_rm_4,98.0,18.0,81.0,74.0,67.75,2.0
3,gpt4_rm_1,100.0,0.0,86.0,92.0,69.5,4.0
3,gpt4_rm_6,99.0,48.0,89.0,84.0,80.0,6.0
3,gpt4_rm_g,80.0,60.0,14.0,10.0,41.0,1.0
3,gpt4_rm_5,98.0,12.0,82.0,79.0,67.75,2.0
3,gpt4_rm_3,100.0,12.0,92.0,81.0,71.25,5.0
3,gpt4_rm_7,98.0,26.0,84.0,77.0,71.25,5.0
3,gpt4_rm_2,99.0,6.0,85.0,86.0,69.0,3.0
4,gpt4_rm_1,100.0,68.0,83.0,78.0,82.25,3.0
4,gpt4_rm_g,88.0,67.0,77.0,68.0,75.0,1.0
4,gpt4_rm_7,99.0,77.0,87.0,76.0,84.75,5.0
4,gpt4_rm_5,99.0,79.0,89.0,82.0,87.25,7.0
4,gpt4_rm_6,97.0,74.0,83.0,76.0,82.5,4.0
4,gpt4_rm_2,100.0,80.0,87.0,87.0,88.5,8.0
4,gpt4_rm_4,98.0,79.0,89.0,76.0,85.5,6.0
4,gpt4_rm_3,100.0,73.0,81.0,69.0,80.75,2.0
5,gpt4_rm_4,85.0,75.0,76.0,64.0,75.0,3.0
5,gpt4_rm_2,80.0,70.0,79.0,68.0,74.25,2.0
5,gpt4_rm_1,90.0,81.0,86.0,78.0,83.75,5.0
5,gpt4_rm_7,82.0,75.0,80.0,70.0,76.75,4.0
5,gpt4_rm_5,86.0,90.0,98.0,96.0,92.5,8.0
5,gpt4_rm_3,86.0,84.0,88.0,82.0,85.0,6.0
5,gpt4_rm_6,93.0,83.0,89.0,76.0,85.25,7.0
5,gpt4_rm_g,75.0,66.0,73.0,69.0,70.75,1.0
6,gpt4_rm_7,82.0,81.0,84.0,82.0,82.25,5.0
6,gpt4_rm_2,86.0,78.0,86.0,81.0,82.75,6.0
6,gpt4_rm_g,58.0,58.0,58.0,50.0,56.0,1.0
6,gpt4_rm_6,86.0,81.0,85.0,72.0,81.0,4.0
6,gpt4_rm_3,92.0,88.0,82.0,72.0,83.5,7.0
6,gpt4_rm_5,80.0,75.0,82.0,81.0,79.5,3.0
6,gpt4_rm_1,92.0,83.0,88.0,90.0,88.25,8.0
6,gpt4_rm_4,74.0,67.0,76.0,63.0,70.0,2.0
7,gpt4_rm_3,92.0,81.0,90.0,72.0,83.75,7.0
7,gpt4_rm_4,87.0,75.0,85.0,66.0,78.25,4.0
7,gpt4_rm_g,44.0,48.0,40.0,90.0,55.5,1.0
7,gpt4_rm_6,86.0,76.0,85.0,66.0,78.25,4.0
7,gpt4_rm_7,90.0,76.0,86.0,62.0,78.5,5.0
7,gpt4_rm_5,81.0,68.0,77.0,57.0,70.75,2.0
7,gpt4_rm_2,86.0,74.0,84.0,65.0,77.25,3.0
7,gpt4_rm_1,91.0,76.0,84.0,66.0,79.25,6.0
8,gpt4_rm_g,73.0,75.0,79.0,66.0,73.25,2.0
8,gpt4_rm_7,78.0,67.0,77.0,56.0,69.5,1.0
8,gpt4_rm_2,83.0,77.0,84.0,72.0,79.0,4.0
8,gpt4_rm_5,82.0,72.0,82.0,62.0,74.5,3.0
8,gpt4_rm_6,90.0,85.0,88.0,76.0,84.75,6.0
8,gpt4_rm_1,89.0,83.0,90.0,78.0,85.0,7.0
8,gpt4_rm_3,92.0,88.0,92.0,67.0,84.75,6.0
8,gpt4_rm_4,85.0,80.0,86.0,72.0,80.75,5.0
9,gpt4_rm_4,87.0,77.0,86.0,74.0,81.0,5.0
9,gpt4_rm_6,85.0,76.0,83.0,77.0,80.25,3.0
9,gpt4_rm_5,85.0,72.0,81.0,69.0,76.75,2.0
9,gpt4_rm_3,97.0,88.0,90.0,72.0,86.75,8.0
9,gpt4_rm_2,85.0,69.0,84.0,84.0,80.5,4.0
9,gpt4_rm_1,92.0,79.0,87.0,82.0,85.0,7.0
9,gpt4_rm_7,91.0,77.0,82.0,75.0,81.25,6.0
9,gpt4_rm_g,70.0,52.0,71.0,63.0,64.0,1.0
