NA_index,news_articles,news_titles,news_ids
0,"In Heerenveen komt mogelijk een asielzoekerscentrum waar 450 mensen kunnen worden opgevangen. De gemeente is bereid daaraan mee te werken en gaat op zoek naar een locatie. Het is de bedoeling dat de locatie minstens tien jaar lang open blijft.""Heerenveen heeft zich altijd ruimhartig en menselijk opgesteld voor mensen die op de vlucht zijn voor oorlog en geweld. Iedereen verdient een dak boven zijn hoofd en een zo stabiel en permanent mogelijke opvang. Geen luxe maar wel een fatsoenlijke plek"", meldt burgemeester Tjeerd van der Zwan donderdag in een verklaring.Volgens de gemeente heeft het Centraal Orgaan opvang asielzoekers (COA) gevraagd om een plek waar 450 asielzoekers kunnen worden opgevangen. Hoeveel mensen er uiteindelijk terecht kunnen ""hangt af van de locatie die gekozen wordt. Pas als er een besluit is genomen over een locatie komt het aantal opvangplekken vast te staan.De gemeenteraad van Heerenveen moet op 20 april een principebesluit nemen over het asielzoekerscentrum. Daarna kijkt de gemeente welke locaties geschikt zijn. Rond de zomer moet een definitief besluit worden genomen.",Heerenveen krijgt mogelijk centrum voor opvang 450 asielzoekers,d062d5399a4b09f7fe0e2638dcc86e04
1,"Twee stationschefs en een treinverkeersleider zijn volgens Griekse justitie aangeklaagd vanwege hun mogelijke rol in de treincrash die op 28 februari aan 57 mensen het leven kostte. De aanklachten tegen het drietal zijn onder meer dood door schuld en het veroorzaken van lichamelijk letsel.Eerder werd de stationschef van het station van Larissa al aangeklaagd. Hij gaf al toe schuldig te zijn aan nalatigheid, maar zijn advocaat benadrukte dat er belangrijke elementen zijn die nog moeten worden onderzocht.Een passagierstrein en een vrachttrein botsten frontaal bij Larissa, op een van de belangrijkste spoortrajecten van Griekenland. Er volgde een explosie en brand, waarschijnlijk door de ontploffing van olie in het remsysteem. Het dodelijke ongeluk leidde tot toenemende kritiek op de slechte staat van het spoornet en was de aanleiding voor talrijke protesten en stakingen.Premier Kyriakos Mitsotakis bood donderdag in het eerste kabinetsoverleg sinds het ongeluk nogmaals zijn excuses aan namens ""iedereen die het land jarenlang heeft bestuurd"". Hij nam zelf ook verantwoordelijkheid en beloofde ""absolute transparantie"" in het onderzoek. Ook zei hij financiële steun toe aan de nabestaanden en gewonden.",Nog drie spoorwegmedewerkers aangeklaagd na treinramp Griekenland,935ae0e0f363f3d13957a3e8e20e4b42
2,"De moeder van de baby die op 24 februari uit een raam van een woning in de Jacob Catsstraat in de Haagse Schilderswijk viel en later overleed, blijft vastzitten. De raadkamer van de rechtbank in Den Haag heeft besloten haar voorarrest met negentig dagen te verlengen, aldus het Openbaar Ministerie.Het jongetje van enkele weken oud werd vorige maand door agenten zwaargewond op straat aangetroffen.De 32-jarige moeder is opgenomen in het Penitentiair Psychiatrisch Centrum, een plek voor gedetineerden met psychische problemen. Het onderzoek naar wat er is gebeurd loopt nog, maar de voorlopige verdenking tegen de moeder is aangepast van ‘poging doodslag’ naar ‘doodslag’.",Moeder baby die uit raam viel in Haagse Schilderswijk blijft vast,fdf0c380fb0b3a3c4178f5376975bf95
3,"De Efteling had nog nooit zoveel bezoekers als in 2022, meldt het park. De Efteling trok 5,43 miljoen bezoekers en spreekt van een financieel ""recordjaar"" ondanks een korte sluiting begin vorig jaar vanwege corona.Het park in Kaatsheuvel (Noord-Brabant) denkt dat het record te danken is aan ""het feit dat men er weer op uit wilde"" en de viering van het zeventigjarig jubileum met het tijdelijke sprookje Efteling Wonderland. ""We zagen dat de goede binding met onze bezoekers ervoor zorgde dat uitgestelde bezoeken werden ingehaald"", aldus Fons Jurgens, algemeen directeur van de Efteling.Het grootste deel van de bezoekers bestond uit scholieren en abonnementhouders. ""Dat geeft vertrouwen"", volgens Jurgens.",Efteling: nog nooit zoveel bezoekers als in 2022,f316f531866505a7401e46838e269eaa
4,"Burgemeester Ahmed Marcouch van Arnhem spant zich deze weken in om zo veel mogelijk inwoners van zijn stad op 15 maart naar de stembus te krijgen. Bij de verkiezingen voor de gemeenteraad vorig jaar kwam nog niet de helft van alle kiesgerechtigde Arnhemmers stemmen. Dat moeten er ditmaal bij de verkiezingen voor Provinciale Staten en de waterschappen meer zijn vindt hij. Arnhem besteedt speciaal aandacht aan nieuwkomers, laaggeletterden, slechthorenden, slechtzienden, jongeren en mensen met een laag IQ.Marcouch trapte de opkomstcampagne vorige week af door met een antieke trolleybus naar de wijk Geitenkamp te reizen om daar stempassen aan de deur af te leveren. De Geitenkamp is een achterstandswijk waar veel mensen nooit gaan stemmen. De trolleybus is op 15 maart een mobiel stembureau. De bus stopt op vier plekken in de stad om mensen te laten stemmen.Marcouch gaat op 15 maart zelf stemmen in de winkel van uitgeverij De Loopvis in de Coehoornstraat in zijn stad. Hier is een speciaal stembureau voor slechthorenden ingericht. Deze kiezers kunnen hulp krijgen van mensen die de gebarentaal beheersen. Arnhem krijgt ook een stembureau in moskee HDV Arnhem Türkiyem Camii. Daarnaast zijn er stemlokalen voor slechtzienden waar in braille of met een mal gestemd kan worden. Bijzonder is ook het stembureau in het Nederlands Watermuseum in park Sonsbeek omdat er ook voor de waterschappen wordt gestemd.Voor jongeren, laaggeletterden en nieuwkomers zijn enkele stemhokjes met toebehoren nagebouwd. Daar krijgen kiezers uitleg over de gang van zaken tijdens het stemmen. De nagebouwde stemhokjes reizen tot 15 maart langs verschillende plekken. Donderdag staat de uitstalling in de werkplaats voor mensen met een beperking De Buitenplaats in de wijk Schuytgraaf. Marcouch: ""Ik zie hoe Arnhemmers verlangen naar een beter leven, voor henzelf maar vooral ook voor hun kinderen, collega's, ouders en buren. De stembus is dan op 15 maart de stap van die dag. De verbeteringen die wij allen in deze zware tijd zo hard nodig hebben, schieten hier hun eerste wortels. Vooruitgang bestaat.""",Arnhem wil meer kiezers naar de stembus lokken,1eb563226442f4b9be77227493d4a104
5,"Een Indonesische rechtbank heeft twee mannen tot celstraffen veroordeeld vanwege de stadionramp waarbij in oktober vorig jaar 135 mensen om het leven kwamen. Het zijn de eerste gerechtelijke veroordelingen voor de stadionramp.Een man die betrokken was bij de organisatie van de wedstrijd kreeg anderhalf jaar cel voor ""nalatigheid waardoor mensen stierven"". Een veiligheidsbeambte kreeg een jaar celstraf opgelegd, eveneens voor nalatigheid.Het drama in het Kanjuruhan stadion behoort tot de grootste stadionrampen ooit. Na afloop van een wedstrijd in Malang in Oost-Java tussen de clubs Arema FC uit Malang en Persebaya Surabaya uit Soerabaja ontstonden rellen. Duizenden supporters van beide teams bestormden het veld. De politie zette traangas in om de fans te verdrijven. Tientallen mensen kwamen om in het gedrang op het veld, anderen overleden later in ziekenhuizen.Volgens een onderzoek van de Indonesische mensenrechtencommissie was het gebruik van traangas de hoofdoorzaak van het gedrang op het veld. De FIFA heeft de inzet van traangas in voetbalstadions als maatregel om menigtes onder controle te houden, verboden.Over de straf van drie politieagenten die zijn aangeklaagd in de zaak wordt op een later moment beslist.",Indonesië veroordeelt twee mannen tot celstraf voor stadionramp,95a3bdfc892f98ddd1c0178514de8846
6,"De vraag naar elektriciteit stijgt harder dan het tempo waarin netbeheerder Alliander het netwerk kan uitbreiden, zegt topman Maarten Otto bij het bekendmaken van de jaarcijfers over 2022. Afgelopen jaar werd meer elektriciteit gebruikt omdat consumenten en bedrijven meer elektrische auto's, zonnepanelen en warmtepompen hebben aangeschaft. Om de groeiende vraag te kunnen bijbenen, moet komende jaren één op de drie straten open om het elektriciteitsnet te verzwaren, aldus Otto.Daarnaast moeten er de komende jaren 20.000 elektriciteitshuisjes bij volgens de topman. Maar de netbeheerder heeft ook te maken met personeels- en materiaaltekorten. ""Dat betekent dat we in de nabije toekomst helaas tijdelijk niet alle consumenten en bedrijven met een kleinverbruikaansluiting direct kunnen helpen wanneer het net in de wijk vol raakt"", stelt Otto. Op sommige plekken is het elektriciteitsnet al vol en de topman verwacht dat dit op meer plekken gaat gebeuren de komende jaren.Alliander belast het net tijdelijk extra om toch aan de grote vraag naar elektriciteit te kunnen voldoen. Hierdoor kunnen vaker spanningsproblemen ontstaan, waardoor mensen met zonnepanelen niet altijd energie kunnen terugleveren, het licht in huis knippert of de stroom kan uitvallen in een huis of wijk. Of en wanneer dit gaat gebeuren, is volgens de beheerder lastig te voorspellen omdat het afhangt van hoeveel elektriciteit tegelijk wordt verbruikt.Afgelopen jaar legde het bedrijf meer kabels aan en plaatste het meer elektriciteitshuisjes dan in 2021 om aan de groeiende vraag te kunnen voldoen. Alliander legde meer dan 2200 kilometer nieuwe elektriciteitskabels en plaatste of bouwde vorig jaar ruim 2000 elektriciteitshuisjes om. Een groot deel van de investeringen van meer dan 1,2 miljard euro ging naar het onderhoud en de uitbreiding van de gas- en elektriciteitsnetten, zegt directeur Walter Bien. In 2021 investeerde de netbeheerder iets meer dan 1 miljard euro.De bedrijfskosten stegen afgelopen jaar naar 1,9 miljard euro. Volgens Bien komt dat onder meer door hogere tarieven van TenneT, de beheerder van het landelijke hoogspanningsnet. Het jaar daarvoor waren de bedrijfskosten ruim 1,8 miljard euro.Onderaan de streep maakte Alliander 198 miljoen euro winst. Dat is minder dan het jaar daarvoor, in 2021 was de winst 242 miljoen euro. De opbrengsten stegen in 2022 met 32 miljoen naar ruim 2,2 miljard euro.",Netbeheerder Alliander kan stijgende vraag elektriciteit niet aan,1730a7093676bb729da6bd45ec65adea
7,"In het noorden van het land rijden op een aantal trajecten in Friesland en Groningen geen treinen van Arriva, vanwege een staking van treinpersoneel.Het gaat om de trajecten Leeuwarden - Harlingen Haven, Leeuwarden - Sneek/Stavoren en Leeuwarden - Groningen, meldt Arriva. Dat geldt ook voor de trajecten Groningen - Roodeschool/Eemshaven en Groningen - Delfzijl.Alle bussen van Arriva rijden wel volgens de dienstregeling, meldt het bedrijf. Reizigers worden geadviseerd kort voor vertrek de reisplanner te bekijken voor de laatste stand van zaken.Personeel van regionale vervoerders staakt al enige tijd voor betere arbeidsvoorwaarden. Ook voor komende week zijn weer stakingen aangekondigd.",Minder treinen Arriva in noorden door staking,d1f0e333cd2bbeaf94855317d0782eae
8,"Het kabinet wil permanent tijdelijk werk sterk beperken. Na een reeks tijdelijke contracten bij een werkgever mag pas na vijf jaar weer met een nieuw tijdelijk contract worden gewerkt. Nu is die wachttijd een halfjaar. Deze lange onderbrekingstermijn gaat ook gelden voor uitzendkrachten die de werkgever inhuurt.Het kabinet hoopt dat tijdelijke werknemers hierdoor eerder een vaste baan krijgen. Dit blijkt volgens de Volkskrant uit een conceptbrief van minister Karien van Gennip van Sociale Zaken en Werkgelegenheid. Van Gennip wil de voornemens dit jaar omzetten in wetsvoorstellen.De minister kondigt aan dat ze de strijd tegen draaideurconstructies opvoert ""om zo het perspectief op een contract voor onbepaalde tijd voor werknemers te vergroten"". Nu mag iemand in drie jaar tijd maximaal drie tijdelijke contracten uitdienen. Wanneer na de wachttijd van zes maanden een nieuwe reeks begint, is sprake van een 'draaideurconstructie'. Die wil Van Gennip dus uitbannen met een wachttijd van vijf jaar.MediaWatch (Disclaimer)ANP MediaWatch is alleen een signaleringsdienst. Het ANP is niet verantwoordelijk voor de inhoud.Tip het ANP. Bel naar 070 - 41 41 411 of mail naar mediawatch@anp.nl",MEDIAWATCH: Kabinet wil draaideurcontracten aanpakken,28ffa4a33cb23ae9d8cc0c059fec58c1
9,"Voor een kleine groep verdachten en criminelen die vastzitten, zijn extra beveiligingsmaatregelen nodig om te voorkomen dat zij vanuit de cel hun criminele activiteiten voortzetten. Die maatregelen moeten onder meer zoveel mogelijk zijn afgestemd op het gedrag en de risico’s van individuele gedetineerden. Dat staat in een donderdag gepubliceerd advies van de Raad voor Strafrechtstoepassing en Jeugdbescherming (RSJ).""Verharding van criminaliteit vormt een actueel probleem voor de samenleving"", staat in het advies. ""Ook in het gevangeniswezen is sprake van een kleine groep waar een grote dreiging van uitgaat, bijvoorbeeld vanwege het risico op ondermijning van de rechtsstaat of bedreiging van personen."" Het is noodzakelijk om gedetineerden van wie een groot gevaar uitgaat, extra te beveiligen, aldus de RSJ. ""Omdat zwaardere beveiliging altijd leidt tot verdere inperking van rechten of vrijheden, is aandacht nodig voor de bejegening en rechtspositie van deze gedetineerden.""De RSJ adviseert onder meer de bewegingsvrijheid en persoonlijke levenssfeer van gedetineerden te waarborgen, omdat zware beveiligingsregimes grote impact daarop hebben. ""Hoe ingrijpender de beperkingen, hoe meer rechtswaarborgen vereist zijn.""Ook moet er aandacht zijn voor relationele veiligheid, zoals bij contact tussen personeel en gedetineerde, en het beperken van de eventuele negatieve effecten van zware beveiligingsmaatregelen. ""Zware beperking van de bewegingsvrijheid en van contact met de buitenwereld kan leiden tot een grote mate van sociaal isolement. De negatieve effecten hiervan moeten zoveel mogelijk worden voorkomen.""Onder anderen Marengo-hoofdverdachte Ridouan Taghi zit in het voor Nederland strengst mogelijke regime in de Extra Beveiligde Inrichting (EBI) in Vught. Zijn advocaat Inez Weski heeft meerdere klachten ingediend en zaken aangespannen tegen onder meer de EBI vanwege de strenge maatregelen. Zo verblijft hij volgens haar al ruim drie jaar volledig alleen op een afdeling zonder medegedetineerden, heeft hij 24 uurscamerabewaking en mag hij slechts zeer beperkt (telefonisch) contact hebben met anderen.",Advies voor extra beveiligingsmaatregelen zwaarste criminelen,1d8d49859c8353f5444f01fe20ef0856
